Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
2.0,Sun,2022-11-27,13:00,Japan jp,0.9,0–1,0.1,cr Costa Rica,41479.0,Ahmed bin Ali Stadium (Neutral Site),Michael Oliver,Match Report,
2.0,Sun,2022-11-27,16:00,Belgium be,1.0,0–2,1.5,ma Morocco,43738.0,Al Thumama Stadium (Neutral Site),César Arturo Ramos,Match Report,
2.0,Sun,2022-11-27,19:00,Croatia hr,2.6,4–1,0.4,ca Canada,44374.0,Khalifa International Stadium (Neutral Site),Andrés Matonte,Match Report,
2.0,Sun,2022-11-27,22:00,Spain es,0.6,1–1,1.3,de Germany,68895.0,Al Bayt Stadium (Neutral Site),Danny Makkelie,Match Report,
2.0,Mon,2022-11-28,13:00,Cameroon cm,2.3,3–3,2.0,rs Serbia,,Al Janoub Stadium (Neutral Site),Mohammed Abdulla Hassan,Match Report,
2.0,Mon,2022-11-28,16:00,Korea Republic kr,1.9,2–3,1.7,gh Ghana,43983.0,Education City Stadium (Neutral Site),Anthony Taylor,Match Report,
2.0,Mon,2022-11-28,19:00,Brazil br,1.0,1–0,0.3,ch Switzerland,43649.0,Stadium 974 (Neutral Site),Iván Barton,Match Report,
2.0,Mon,2022-11-28,22:00,Portugal pt,1.7,2–0,1.3,uy Uruguay,,Lusail Iconic Stadium (Neutral Site),Alireza Faghani,Match Report,
,,,,,,,,,,,,,
3.0,Tue,2022-11-29,18:00,Netherlands nl,,,,qa Qatar,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
3.0,Tue,2022-11-29,18:00,Ecuador ec,,,,sn Senegal,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
3.0,Tue,2022-11-29,22:00,Wales wls,,,,eng England,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
3.0,Tue,2022-11-29,22:00,IR Iran ir,,,,us United States,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
3.0,Wed,2022-11-30,18:00,Tunisia tn,,,,fr France,,Education City Stadium (Neutral Site),,Head-to-Head,
3.0,Wed,2022-11-30,18:00,Australia au,,,,dk Denmark,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
3.0,Wed,2022-11-30,22:00,Saudi Arabia sa,,,,mx Mexico,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
3.0,Wed,2022-11-30,22:00,Poland pl,,,,ar Argentina,,Stadium 974 (Neutral Site),,Head-to-Head,
3.0,Thu,2022-12-01,18:00,Canada ca,,,,ma Morocco,,Al Thumama Stadium (Neutral Site),,Head-to-Head,
3.0,Thu,2022-12-01,18:00,Croatia hr,,,,be Belgium,,Ahmed bin Ali Stadium (Neutral Site),,Head-to-Head,
3.0,Thu,2022-12-01,22:00,Japan jp,,,,es Spain,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
3.0,Thu,2022-12-01,22:00,Costa Rica cr,,,,de Germany,,Al Bayt Stadium (Neutral Site),,Head-to-Head,
3.0,Fri,2022-12-02,18:00,Korea Republic kr,,,,pt Portugal,,Education City Stadium (Neutral Site),,Head-to-Head,
3.0,Fri,2022-12-02,18:00,Ghana gh,,,,uy Uruguay,,Al Janoub Stadium (Neutral Site),,Head-to-Head,
3.0,Fri,2022-12-02,22:00,Serbia rs,,,,ch Switzerland,,Stadium 974 (Neutral Site),,Head-to-Head,
3.0,Fri,2022-12-02,22:00,Cameroon cm,,,,br Brazil,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
